,index,recap,
0,#trades,6.0,17Jan24 14:32
1,$net,-22,-1.7%
2,$gross,109,+8.5%
3,$buy,44,+3.4%
4,$sell,-66,-5.2%
5,$P&L vs. Last,0.1,+1bp
6,$P&L vs. Arrival,-0.0,-0bp
