,PnLvsLast,PnLvsArrival,realizedPnl
in$,-1.3,-0.6,6.1
in bp vs. 367 traded,-34 bp,-17 bp,165 bp
in bp vs. 985 AUMs,-13 bp,-6 bp,61 bp
