index,BTC-nextTop10Top20x30x60,BTC-nextTop10Top20x30x60**,timestamp
2018-03-26,0.07682979628152248,-0.010211880187646155,2023-12-26 15:44:01
2018-03-27,0.06558843868650371,-0.02145323778266492,2023-12-26 15:44:01
2018-03-28,0.07155976170222517,-0.015481914766943466,2023-12-26 15:44:01
2018-03-29,0.04467199876211714,-0.042369677707051495,2023-12-26 15:44:01
2018-03-30,0.01868172168929927,-0.05536481624346043,2023-12-26 15:44:01
2018-03-31,0.032361173771235596,-0.048525090202492266,2023-12-26 15:44:01
2018-04-01,0.0377599540878395,-0.043126309885888364,2023-12-26 15:44:01
2018-04-02,0.04175028360805633,-0.039135980365671535,2023-12-26 15:44:01
2018-04-03,0.04045345095348951,-0.04043281302023835,2023-12-26 15:44:01
2018-04-04,0.027525281494579723,-0.05336098247914814,2023-12-26 15:44:01
2018-04-05,0.023482177055199227,-0.060275159256374305,2023-12-26 15:44:01
2018-04-06,0.024180570585965927,-0.0604987273905897,2023-12-26 15:44:01
2018-04-07,0.03739175544832504,-0.05197406322721293,2023-12-26 15:44:01
2018-04-08,0.037318065035614495,-0.05204775363992348,2023-12-26 15:44:01
2018-04-09,0.017718978670735047,-0.07164684000480293,2023-12-26 15:44:01
2018-04-10,0.016446634273422217,-0.07291918440211576,2023-12-26 15:44:01
2018-04-11,-0.008058304674370437,-0.10255058644341819,2023-12-26 15:44:01
2018-04-12,0.03129394235247421,-0.048415330152910996,2023-12-26 15:44:01
2018-04-13,0.03760749372944158,-0.04525855446442731,2023-12-26 15:44:01
2018-04-14,0.039404423199423916,-0.04436008972943614,2023-12-26 15:44:01
2018-04-15,0.03283186287660575,-0.05093265005225431,2023-12-26 15:44:01
2018-04-16,0.016204303809369908,-0.06756020911949015,2023-12-26 15:44:01
2018-04-17,0.0015825372008775873,-0.08658142770877128,2023-12-26 15:44:01
2018-04-18,-0.031491010035653744,-0.12869609086853237,2023-12-26 15:44:01
2018-04-19,-0.038061298802125776,-0.14183666840147643,2023-12-26 15:44:01
2018-04-20,-0.04685853903002257,-0.15063390862937323,2023-12-26 15:44:01
2018-04-21,-0.022411152937069828,-0.1261865225364205,2023-12-26 15:44:01
2018-04-22,-0.034644787153918916,-0.14234921008672796,2023-12-26 15:44:01
2018-04-23,-0.04525384864390855,-0.16356733306670723,2023-12-26 15:44:01
2018-04-24,-0.030013160682468537,-0.1330859571438272,2023-12-26 15:44:01
2018-04-25,-0.037078524052703316,-0.14015132051406198,2023-12-26 15:44:01
