,Bitcoin,avg,top,+SL,TopvBot,mozaic,crypto_on,btcXalt,1+2,1+3,1+2+3
2017-12-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-01,0.9647367846671608,0.9757698547175178,0.9899933258181666,0.9957165356941896,0.9957165356941896,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-02,1.058326918988306,1.0798719118104,1.028188660286488,1.015940039149789,1.015940039149789,1.026400803855469,1.0,1.0,1.031680964626563,1.026400803855469,1.03036092443379
2018-01-03,1.073789916966942,1.065976163805665,1.02583452642219,1.016287253699015,1.016287253699015,1.025851316849422,1.0,1.0,1.031018188117832,1.025851316849422,1.0297265763039
2018-01-04,1.101918550258227,1.071253683816376,1.029624419500042,1.019553314478435,1.019553314478435,1.029312499874249,1.0,1.0,1.035192527138376,1.029312499874249,1.033721973005853
2018-01-05,1.231209878151129,1.151633547690019,1.061703401693108,1.039192208447092,1.039192208447092,1.053220173127318,1.0,1.0,1.064045624361076,1.053220173127318,1.06133357807563
2018-01-06,1.238097222201144,1.26384755457855,1.090982937092966,1.048862840480914,1.048862840480914,1.069436151790013,1.0,1.0,1.083704808544234,1.069436151790013,1.080125609940837
2018-01-07,1.163968180801612,1.208952849287686,1.066245430304673,1.038770466532262,1.038333440348728,1.0543444146289,1.0,1.0,1.065353095144522,1.0543444146289,1.062596636803199
2018-01-08,1.071607131105258,1.072469302856112,1.04452383810574,1.017608595333564,1.031953557155547,1.03786556505386,1.0,1.0,1.045372003779379,1.03786556505386,1.043497635207563
2018-01-09,1.031010708081606,1.055367484889134,1.032490684947098,1.005885511918439,1.028380331823702,1.0286967007813,1.0,1.0,1.034289789273315,1.0286967007813,1.032896222284418
2018-01-10,1.057705305834913,1.06641006252531,1.037111702469278,1.010387455271197,1.019686379435676,1.028867183227342,1.0,1.0,1.034495480517071,1.028867183227342,1.033093077465836
2018-01-11,0.9469780053385196,0.969406040492544,1.035202465157067,1.008527415099246,1.049685432639262,1.037694193796919,1.0,1.0,1.045145837752172,1.037694193796919,1.043285833355254
2018-01-12,0.9875815336950757,1.062233317015521,1.045057318713596,1.01812832923737,1.036164229572739,1.03982432937382,1.0,1.0,1.047720356155017,1.03982432937382,1.045748689297169
2018-01-13,1.014396301253422,1.123473750999931,1.047414782298004,1.020425045807314,0.976318189930552,1.02136895626946,1.0,1.0,1.025405736807514,1.02136895626946,1.02440408911562
2018-01-14,0.972846176992877,1.051068065003356,1.017662581489454,0.991439498356548,0.9598330828366952,0.9962787871855647,1.0,1.0,0.9951785365486778,0.9962787871855647,0.9954646521025488
2018-01-15,0.9762227277662753,1.004089459706159,1.009874175164808,0.9838517833319838,0.9623009291937447,0.9920494705900934,1.0,1.0,0.9901089614607985,0.9920494705900934,0.9906049125280254
2018-01-16,0.811682326222528,0.7575752804367906,0.9438227303833848,0.9195679392956208,0.9776246718138993,0.9540802636045903,1.0,1.0,0.9446350371732788,0.9540802636045903,0.9470039060342674
2018-01-17,0.7903562558731098,0.7889831208628362,0.9488288662193438,0.9241613205719212,0.9783137304019466,0.9575798576866043,1.0,1.0,0.9487929756342609,0.9575798576866043,0.950998589501026
2018-01-18,0.8105803787680514,0.8208429443549261,0.95591825438271,0.9295858215114683,0.9700197751060173,0.9591322748894485,1.0,1.0,0.9506387820498688,0.9591322748894485,0.9527715993885323
2018-01-19,0.8199401027334564,0.8394927133840598,0.9605555083550213,0.9336281166187823,0.9694343305936526,0.9618805247555529,1.0,1.0,0.9539074776913954,0.9618805247555529,0.9559111273372313
2018-01-20,0.9111920996424298,0.9331497981339665,0.9895209567376785,0.9609093987216523,0.9503302683671105,0.9745995373935677,1.0,1.0,0.9690437790743602,0.9745995373935677,0.9704472180532667
2018-01-21,0.8194243797354805,0.815497796648785,0.9521300139657793,0.9256734450869827,0.9577244591621568,0.9529388542695054,1.0,1.0,0.943199132825491,0.9529388542695054,0.9456435615736416
2018-01-22,0.7721878506533529,0.771770014866433,0.9405761456468685,0.9144406208571271,0.9773556939479902,0.9517407788227593,1.0,1.0,0.94177613652217,0.9517407788227593,0.9442763225566452
2018-01-23,0.767737566805651,0.7626342088101575,0.9355027538382317,0.9097337122187371,0.9727054649430754,0.9468871551450554,1.0,1.0,0.9360127685248782,0.9468871551450554,0.9387384320697061
2018-01-24,0.8024215250472646,0.7965393946015438,0.9529524539600616,0.9225255653142773,0.9796753622709398,0.9595092979094438,1.0,1.0,0.9509853912659291,0.9595092979094438,0.9531289790426607
2018-01-25,0.7953575824318647,0.7985697127966092,0.9561550448748386,0.9248670024983642,0.9839848176769598,0.9628028575159024,1.0,1.0,0.9549025523537851,0.9628028575159024,0.9568913867428817
2018-01-26,0.7891413129303128,0.7812697403210738,0.9567316328827437,0.925864314466083,0.9916594675874465,0.9658456095427709,1.0,1.0,0.9585238939241241,0.9658456095427709,0.9603690672060654
2018-01-27,0.8081644965968219,0.7979429856758796,0.9589936445428718,0.9283426491517666,0.9751052021803864,0.9620941341836281,1.0,1.0,0.954056249737089,0.9620941341836281,0.956079332921345
2018-01-28,0.8325774546821182,0.8473295436172684,0.9906723012408338,0.9506897924896138,0.9843541912758352,0.9834495559861527,1.0,1.0,0.9794686574164169,0.9834495559861527,0.9804845321753838
2018-01-29,0.7979712411995628,0.8150257978967739,0.9828003437732412,0.9431989183975872,0.9901361654334653,0.9802091083465354,1.0,1.0,0.9755958606312418,0.9802091083465354,0.9767692525416455
