,,,,total,total,total,fatal,fatal,fatal
vax_name,,,,astra,moderna,pfizer,astra,moderna,pfizer
name0,name1,reaction name,level,,,,,,
Ear disorders,Middle ear infections and inflammations,Middle ear inflammation,3,,1.0,1.0,,0.0,0.0
Ear disorders,Tympanic membrane disorders (excl infections),Tympanic membrane perforation,3,7.0,,5.0,0.0,,0.0
Endocrine disorders,Acute and chronic thyroiditis,Autoimmune thyroiditis,3,12.0,1.0,7.0,0.0,0.0,0.0
Endocrine disorders,Acute and chronic thyroiditis,Thyroiditis,3,24.0,2.0,24.0,0.0,0.0,0.0
Endocrine disorders,Acute and chronic thyroiditis,Thyroiditis acute,3,9.0,,4.0,0.0,,0.0
Endocrine disorders,Acute and chronic thyroiditis,Thyroiditis chronic,3,2.0,,,0.0,,
Endocrine disorders,Acute and chronic thyroiditis,Thyroiditis subacute,3,9.0,2.0,10.0,0.0,0.0,0.0
Endocrine disorders,Adrenal cortical hyperfunctions,Cushing's syndrome,3,2.0,,,0.0,,
Endocrine disorders,Adrenal cortical hyperfunctions,Cushingoid,3,5.0,,1.0,0.0,,0.0
Endocrine disorders,Adrenal cortical hypofunctions,Addison's disease,3,5.0,,4.0,0.0,,0.0
Endocrine disorders,Adrenal cortical hypofunctions,Adrenal insufficiency,3,23.0,2.0,3.0,0.0,0.0,0.0
Endocrine disorders,Adrenal cortical hypofunctions,Adrenocortical insufficiency acute,3,31.0,6.0,16.0,0.0,0.0,0.0
Endocrine disorders,Adrenal cortical hypofunctions,Glucocorticoid deficiency,3,1.0,,,0.0,,
Endocrine disorders,Adrenal gland disorders NEC,Adrenal disorder,3,3.0,,4.0,0.0,,0.0
Endocrine disorders,Adrenal gland disorders NEC,Adrenal haematoma,3,1.0,,,0.0,,
Endocrine disorders,Adrenal gland disorders NEC,Adrenal haemorrhage,3,7.0,,3.0,0.0,,0.0
Endocrine disorders,Adrenal gland disorders NEC,Adrenal mass,3,2.0,,1.0,0.0,,0.0
Endocrine disorders,Adrenal gland disorders NEC,Adrenal thrombosis,3,2.0,,,0.0,,
Endocrine disorders,Adrenal gland disorders NEC,Adrenomegaly,3,2.0,,,0.0,,
Endocrine disorders,Adrenal gland disorders NEC,Haemorrhagic adrenal infarction,3,5.0,,,0.0,,
Endocrine disorders,Anterior pituitary hyperfunction,Hyperprolactinaemia,3,2.0,,,0.0,,
Endocrine disorders,Anterior pituitary hyperfunction,Pituitary-dependent Cushing's syndrome,3,,,1.0,,,0.0
Endocrine disorders,Anterior pituitary hypofunction,Hypopituitarism,3,3.0,1.0,2.0,0.0,0.0,0.0
Endocrine disorders,Anterior pituitary hypofunction,Luteal phase deficiency,3,2.0,,1.0,0.0,,0.0
Endocrine disorders,Ectopic endocrine disorders,Carcinoid syndrome,3,1.0,,,0.0,,
Endocrine disorders,Endocrine abnormalities of gonadal function NEC,Oestrogen deficiency,3,,,1.0,,,0.0
Endocrine disorders,Endocrine abnormalities of gonadal function NEC,Oestrogenic effect,3,1.0,,,0.0,,
Endocrine disorders,Endocrine abnormalities of puberty,Delayed menarche,3,2.0,2.0,5.0,0.0,0.0,0.0
Endocrine disorders,Endocrine abnormalities of puberty,Premature menarche,3,17.0,3.0,21.0,0.0,0.0,0.0
Endocrine disorders,Endocrine disorders NEC,Endocrine disorder,3,1.0,,1.0,0.0,,0.0
Endocrine disorders,Female gonadal function disorders,Anovulatory cycle,3,23.0,7.0,68.0,0.0,0.0,0.0
Endocrine disorders,Female gonadal function disorders,Ovulation delayed,3,18.0,11.0,35.0,0.0,0.0,0.0
Endocrine disorders,Hyperparathyroid disorders,Hyperparathyroidism,3,2.0,1.0,,0.0,0.0,
Endocrine disorders,Hypoparathyroid disorders,Hypoparathyroidism,3,2.0,1.0,,0.0,0.0,
Endocrine disorders,Hypoparathyroid disorders,Primary hypoparathyroidism,3,1.0,,,0.0,,
Endocrine disorders,Hypothalamic and pituitary disorders NEC,Empty sella syndrome,3,1.0,,,0.0,,
Endocrine disorders,Hypothalamic and pituitary disorders NEC,Hypothalamo-pituitary disorder,3,2.0,,,0.0,,
Endocrine disorders,Hypothalamic and pituitary disorders NEC,Pituitary apoplexy,3,2.0,,,0.0,,
Endocrine disorders,Hypothalamic and pituitary disorders NEC,Pituitary haemorrhage,3,1.0,1.0,,0.0,0.0,
Endocrine disorders,Hypothalamic and pituitary disorders NEC,Secondary adrenocortical insufficiency,3,1.0,,,0.0,,
Endocrine disorders,Male gonadal function disorders,Androgen deficiency,3,,,1.0,,,0.0
Endocrine disorders,Polyglandular endocrine disorders,Polyglandular disorder,3,,1.0,,,0.0,
Endocrine disorders,Posterior pituitary disorders,Diabetes insipidus,3,9.0,,,0.0,,
Endocrine disorders,Posterior pituitary disorders,Inappropriate antidiuretic hormone secretion,3,1.0,,,0.0,,
Endocrine disorders,Thyroid disorders NEC,Autoimmune thyroid disorder,3,1.0,,1.0,0.0,,0.0
Endocrine disorders,Thyroid disorders NEC,Euthyroid sick syndrome,3,1.0,,,0.0,,
Endocrine disorders,Thyroid disorders NEC,Goitre,3,28.0,6.0,18.0,0.0,0.0,0.0
Endocrine disorders,Thyroid disorders NEC,Thyroid disorder,3,29.0,2.0,15.0,0.0,0.0,0.0
Endocrine disorders,Thyroid disorders NEC,Thyroid mass,3,9.0,,4.0,0.0,,0.0
Endocrine disorders,Thyroid disorders NEC,Thyroid pain,3,20.0,3.0,12.0,0.0,0.0,0.0
Endocrine disorders,Thyroid hyperfunction disorders,Basedow's disease,3,28.0,3.0,17.0,0.0,0.0,0.0
Endocrine disorders,Thyroid hyperfunction disorders,Hyperthyroidism,3,72.0,7.0,62.0,0.0,0.0,0.0
Endocrine disorders,Thyroid hyperfunction disorders,Primary hyperthyroidism,3,,,1.0,,,0.0
Endocrine disorders,Thyroid hyperfunction disorders,Thyrotoxic crisis,3,6.0,,6.0,0.0,,0.0
Endocrine disorders,Thyroid hypofunction disorders,Autoimmune hypothyroidism,3,,,1.0,,,0.0
Endocrine disorders,Thyroid hypofunction disorders,Hypothyroidic goitre,3,,,1.0,,,0.0
Endocrine disorders,Thyroid hypofunction disorders,Hypothyroidism,3,76.0,5.0,52.0,0.0,0.0,0.0
Endocrine disorders,Thyroid hypofunction disorders,Immune-mediated hypothyroidism,3,1.0,,1.0,0.0,,0.0
Endocrine disorders,Thyroid hypofunction disorders,Myxoedema,3,,,1.0,,,0.0
Endocrine disorders,Thyroid neoplasms,Thyroid cyst,3,1.0,,1.0,0.0,,0.0
Eye disorders,Amblyopic vision impairment,Amblyopia,3,13.0,5.0,8.0,0.0,0.0,0.0
Eye disorders,Anterior chamber bleeding and vascular disorders,Spontaneous hyphaema,3,,,1.0,,,0.0
Eye disorders,Cataract conditions,Cataract,3,28.0,2.0,18.0,0.0,0.0,0.0
Eye disorders,Cataract conditions,Cataract cortical,3,2.0,,,0.0,,
Eye disorders,Cataract conditions,Cataract subcapsular,3,4.0,,,0.0,,
Eye disorders,Choroid and vitreous haemorrhages and vascular disorders,Choroidal haemorrhage,3,,,1.0,,,0.0
Eye disorders,Choroid and vitreous haemorrhages and vascular disorders,Choroidal neovascularisation,3,,,1.0,,,0.0
Eye disorders,Choroid and vitreous haemorrhages and vascular disorders,Vitreous haematoma,3,1.0,,,0.0,,
Eye disorders,Choroid and vitreous haemorrhages and vascular disorders,Vitreous haemorrhage,3,9.0,1.0,4.0,0.0,0.0,0.0
Eye disorders,"Choroid and vitreous structural change, deposit and degeneration",Chorioretinopathy,3,1.0,,,0.0,,
Eye disorders,"Choroid and vitreous structural change, deposit and degeneration",Vitreous detachment,3,62.0,4.0,24.0,0.0,0.0,0.0
Eye disorders,"Choroid and vitreous structural change, deposit and degeneration",Vitreous floaters,3,218.0,23.0,129.0,0.0,0.0,0.0
Eye disorders,"Choroid and vitreous structural change, deposit and degeneration",Vitreous opacities,3,1.0,,,0.0,,
Eye disorders,Colour blindness (incl acquired),Colour blindness acquired,3,,,2.0,,,0.0
Eye disorders,Colour blindness (incl acquired),Dyschromatopsia,3,21.0,2.0,16.0,0.0,0.0,0.0
Eye disorders,Conjunctival and corneal bleeding and vascular disorders,Conjunctival haemorrhage,3,131.0,10.0,55.0,0.0,0.0,0.0
Eye disorders,Conjunctival and corneal bleeding and vascular disorders,Corneal neovascularisation,3,1.0,,,0.0,,
Eye disorders,Conjunctival and corneal bleeding and vascular disorders,Scleral haemorrhage,3,1.0,,1.0,0.0,,0.0
Eye disorders,"Conjunctival infections, irritations and inflammations",Conjunctival hyperaemia,3,2.0,,2.0,0.0,,0.0
Eye disorders,"Conjunctival infections, irritations and inflammations",Conjunctival irritation,3,,,1.0,,,0.0
Eye disorders,"Conjunctival infections, irritations and inflammations",Conjunctival oedema,3,,,3.0,,,0.0
Eye disorders,"Conjunctival infections, irritations and inflammations",Conjunctival ulcer,3,,,1.0,,,0.0
Eye disorders,"Conjunctival infections, irritations and inflammations",Conjunctivitis allergic,3,2.0,,2.0,0.0,,0.0
Eye disorders,"Conjunctival structural change, deposit and degeneration",Conjunctival bleb,3,1.0,,,0.0,,
Eye disorders,"Conjunctival structural change, deposit and degeneration",Conjunctival disorder,3,1.0,,,0.0,,
Eye disorders,Corneal disorders NEC,Corneal defect,3,1.0,,,0.0,,
Eye disorders,"Corneal infections, oedemas and inflammations",Corneal oedema,3,,,3.0,,,0.0
Eye disorders,"Corneal infections, oedemas and inflammations",Keratitis,3,5.0,,7.0,0.0,,0.0
Eye disorders,"Corneal infections, oedemas and inflammations",Ulcerative keratitis,3,4.0,1.0,6.0,0.0,0.0,0.0
Eye disorders,"Corneal structural change, deposit and degeneration",Arcus lipoides,3,1.0,,,0.0,,
Eye disorders,"Corneal structural change, deposit and degeneration",Corneal perforation,3,1.0,,,0.0,,
Eye disorders,"Corneal structural change, deposit and degeneration",Corneal scar,3,1.0,,1.0,0.0,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Eye discharge,3,,,36.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Eye inflammation,3,,,43.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Eye irritation,3,,,112.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Eye pruritus,3,,,291.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Lacrimation increased,3,,,172.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Limbal swelling,3,,,4.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Ocular hyperaemia,3,,,276.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Ocular vasculitis,3,,,1.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Retinal vein thrombosis,3,,,3.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Scintillating scotoma,3,,,4.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Vision blurred,3,,,1501.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Visual brightness,3,,,3.0,,,0.0
Eye disorders,Eye disorders Eye disorders cont'd,Visual snow syndrome,3,,,8.0,,,0.0
Eye disorders,Eye disordersEye disorders cont'd,Dry eye,3,333.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Exophthalmos,3,8.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Eye irritation,3,,25.0,,,0.0,
Eye disorders,Eye disordersEye disorders cont'd,Eye opacity,3,1.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Eye pruritus,3,,46.0,,,0.0,
Eye disorders,Eye disordersEye disorders cont'd,Hypermetropia,3,3.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Lacrimal disorder,3,1.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Lacrimation increased,3,268.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Limbal swelling,3,,1.0,,,0.0,
Eye disorders,Eye disordersEye disorders cont'd,Myopia,3,6.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Ocular hyperaemia,3,,61.0,,,0.0,
Eye disorders,Eye disordersEye disorders cont'd,Refraction disorder,3,1.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Retinal disorder,3,2.0,,,0.0,,
Eye disorders,Eye disordersEye disorders cont'd,Retinal fovea disorder,3,1.0,,,0.0,,
Eye disorders,Eyelid movement disorders,Blepharospasm,3,164.0,39.0,173.0,0.0,0.0,0.0
Eye disorders,Eyelid movement disorders,Excessive eye blinking,3,9.0,,7.0,0.0,,0.0
Eye disorders,Eyelid movement disorders,Eyelid function disorder,3,1.0,,3.0,0.0,,0.0
Eye disorders,Eyelid movement disorders,Eyelid myokymia,3,3.0,,5.0,0.0,,0.0
Eye disorders,Eyelid movement disorders,Eyelid ptosis,3,65.0,6.0,55.0,0.0,0.0,0.0
Eye disorders,Eyelid movement disorders,Paralytic lagophthalmos,3,1.0,,2.0,0.0,,0.0
Eye disorders,Glaucomas (excl congenital),Angle closure glaucoma,3,6.0,,2.0,0.0,,0.0
Eye disorders,Glaucomas (excl congenital),Glaucoma,3,17.0,,9.0,0.0,,0.0
Eye disorders,Glaucomas (excl congenital),Ocular hypertension,3,,,1.0,,,0.0
Eye disorders,"Iris and ciliary body structural change, deposit and degeneration",Eye colour change,3,9.0,,3.0,0.0,,0.0
Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Autoimmune uveitis,3,1.0,,3.0,0.0,,0.0
Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Iridocyclitis,3,27.0,2.0,21.0,0.0,0.0,0.0
Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Iritis,3,15.0,2.0,13.0,0.0,0.0,0.0
Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Uveitis,3,55.0,11.0,60.0,0.0,0.0,0.0
Eye disorders,"Iris and uveal tract infections, irritations and inflammations",Vogt-Koyanagi-Harada disease,3,,,1.0,,,0.0
Eye disorders,Lacrimation disorders,Dry eye,3,,40.0,184.0,,0.0,0.0
Eye disorders,Lacrimation disorders,Lacrimation decreased,3,,,1.0,,,0.0
Eye disorders,Lacrimation disorders,Lacrimation increased,3,,23.0,,,0.0,
Eye disorders,"Lens structural change, deposit and degeneration (excl cataracts)",Anterior capsule contraction,3,2.0,,,0.0,,
Eye disorders,Lid bleeding and vascular disorders,Eyelid bleeding,3,3.0,,1.0,0.0,,0.0
Eye disorders,Lid bleeding and vascular disorders,Eyelid haematoma,3,3.0,,,0.0,,
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Blepharitis,3,33.0,3.0,21.0,0.0,0.0,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Blepharitis allergic,3,,,1.0,,,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Chalazion,3,2.0,,8.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eczema eyelids,3,9.0,,11.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Erythema of eyelid,3,9.0,3.0,11.0,0.0,0.0,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid cyst,3,20.0,1.0,7.0,0.0,0.0,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid irritation,3,5.0,2.0,4.0,0.0,0.0,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid margin crusting,3,1.0,,5.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid oedema,3,14.0,4.0,16.0,0.0,0.0,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Eyelid rash,3,15.0,2.0,20.0,0.0,0.0,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Meibomian gland dysfunction,3,,,1.0,,,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Meibomianitis,3,1.0,,,0.0,,
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Swelling of eyelid,3,144.0,37.0,153.0,0.0,0.0,0.0
Eye disorders,"Lid, lash and lacrimal infections, irritations and inflammations",Swollen tear duct,3,,,2.0,,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Blepharal pigmentation,3,1.0,,,0.0,,
Eye disorders,"Lid, lash and lacrimal structural disorders",Dacryostenosis acquired,3,,,2.0,,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Dermatochalasis,3,1.0,,1.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Ectropion,3,1.0,,1.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Eyelash changes,3,,,1.0,,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Eyelid exfoliation,3,3.0,,3.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Eyelid skin dryness,3,6.0,,2.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Eyelid thickening,3,4.0,,1.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Floppy eyelid syndrome,3,,,1.0,,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Growth of eyelashes,3,10.0,,3.0,0.0,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Lacrimal gland enlargement,3,,,1.0,,,0.0
Eye disorders,"Lid, lash and lacrimal structural disorders",Lagophthalmos,3,5.0,1.0,5.0,0.0,0.0,0.0
Eye disorders,Ocular bleeding and vascular disorders NEC,Eye haematoma,3,4.0,2.0,4.0,0.0,0.0,0.0
Eye disorders,Ocular bleeding and vascular disorders NEC,Eye haemorrhage,3,117.0,4.0,40.0,0.0,0.0,0.0
Eye disorders,Ocular bleeding and vascular disorders NEC,Ocular retrobulbar haemorrhage,3,1.0,,,0.0,,
Eye disorders,Ocular bleeding and vascular disorders NEC,Ocular vascular disorder,3,2.0,,2.0,0.0,,0.0
Eye disorders,Ocular bleeding and vascular disorders NEC,Ophthalmic vein thrombosis,3,4.0,,1.0,0.0,,0.0
Eye disorders,Ocular cysts and polyps,Vitreous cyst,3,1.0,,,0.0,,
Eye disorders,Ocular disorders NEC,Dark circles under eyes,3,12.0,,10.0,0.0,,0.0
Eye disorders,Ocular disorders NEC,Eye disorder,3,52.0,4.0,45.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Eye oedema,3,20.0,1.0,20.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Eye pain,3,3430.0,419.0,1334.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Eye swelling,3,656.0,147.0,674.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Eye symptom,3,11.0,,10.0,0.0,,0.0
Eye disorders,Ocular disorders NEC,Eye ulcer,3,11.0,1.0,6.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Eyelid disorder,3,18.0,4.0,16.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Eyelid pain,3,21.0,,16.0,0.0,,0.0
Eye disorders,Ocular disorders NEC,Eyelids pruritus,3,14.0,3.0,8.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Ocular discomfort,3,91.0,18.0,37.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Periorbital discomfort,3,1.0,,,0.0,,
Eye disorders,Ocular disorders NEC,Periorbital oedema,3,18.0,3.0,22.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Periorbital pain,3,4.0,,5.0,0.0,,0.0
Eye disorders,Ocular disorders NEC,Periorbital swelling,3,111.0,25.0,137.0,0.0,0.0,0.0
Eye disorders,Ocular disorders NEC,Retinal disorder,3,,,2.0,,,0.0
Eye disorders,Ocular disorders NEC,Vitreous disorder,3,,,1.0,,,0.0
Eye disorders,"Ocular infections, inflammations and associated manifestations",Autoimmune eye disorder,3,1.0,,,0.0,,
Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye allergy,3,32.0,5.0,22.0,0.0,0.0,0.0
Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye discharge,3,30.0,5.0,,0.0,0.0,
Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye inflammation,3,37.0,8.0,,0.0,0.0,
Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye irritation,3,210.0,,,0.0,,
Eye disorders,"Ocular infections, inflammations and associated manifestations",Eye pruritus,3,309.0,,,0.0,,
Eye disorders,"Ocular infections, inflammations and associated manifestations",Limbal swelling,3,8.0,,,0.0,,
Eye disorders,"Ocular infections, inflammations and associated manifestations",Ocular hyperaemia,3,479.0,,,0.0,,
Eye disorders,"Ocular infections, inflammations and associated manifestations",Ocular rosacea,3,1.0,,,0.0,,
Eye disorders,Ocular nerve and muscle disorders,Binocular eye movement disorder,3,,,1.0,,,0.0
Eye disorders,Ocular nerve and muscle disorders,Extraocular muscle disorder,3,,,1.0,,,0.0
Eye disorders,Ocular nerve and muscle disorders,Eye movement disorder,3,58.0,11.0,48.0,0.0,0.0,0.0
Eye disorders,Ocular nerve and muscle disorders,Gaze palsy,3,5.0,1.0,3.0,0.0,0.0,0.0
Eye disorders,Ocular nerve and muscle disorders,Ocular myasthenia,3,6.0,,1.0,0.0,,0.0
Eye disorders,Ocular nerve and muscle disorders,Ophthalmoplegia,3,15.0,1.0,11.0,0.0,0.0,0.0
Eye disorders,Ocular nerve and muscle disorders,Parinaud syndrome,3,1.0,,,0.0,,
Eye disorders,Ocular nerve and muscle disorders,Strabismus,3,5.0,1.0,10.0,0.0,0.0,0.0
Eye disorders,Ocular nerve and muscle disorders,Tolosa-Hunt syndrome,3,1.0,,,0.0,,
Eye disorders,Ocular sensation disorders,Abnormal sensation in eye,3,29.0,2.0,26.0,0.0,0.0,0.0
Eye disorders,Ocular sensation disorders,Asthenopia,3,365.0,32.0,179.0,0.0,0.0,0.0
Eye disorders,Ocular sensation disorders,Eye paraesthesia,3,5.0,,2.0,0.0,,0.0
Eye disorders,Ocular sensation disorders,Eyelid sensory disorder,3,5.0,,3.0,0.0,,0.0
Eye disorders,Ocular sensation disorders,Foreign body sensation in eyes,3,37.0,8.0,19.0,0.0,0.0,0.0
Eye disorders,Ocular sensation disorders,Hypoaesthesia eye,3,30.0,6.0,19.0,0.0,0.0,0.0
Eye disorders,Ocular sensation disorders,Photophobia,3,1102.0,149.0,534.0,0.0,0.0,0.0
Eye disorders,Optic disc abnormalities NEC,Optic atrophy,3,2.0,,,0.0,,
Eye disorders,Optic disc abnormalities NEC,Optic disc disorder,3,,,1.0,,,0.0
Eye disorders,Optic disc abnormalities NEC,Optic disc drusen,3,1.0,,,0.0,,
Eye disorders,Optic disc abnormalities NEC,Optic discs blurred,3,3.0,1.0,,0.0,0.0,
Eye disorders,Optic disc abnormalities NEC,Papilloedema,3,17.0,1.0,8.0,0.0,0.0,0.0
Eye disorders,Optic nerve bleeding and vascular disorders,Optic disc haemorrhage,3,2.0,,1.0,0.0,,0.0
Eye disorders,Optic nerve bleeding and vascular disorders,Optic ischaemic neuropathy,3,11.0,1.0,4.0,0.0,0.0,0.0
Eye disorders,Optic nerve bleeding and vascular disorders,Optic nerve sheath haemorrhage,3,1.0,,,0.0,,
Eye disorders,"Orbital infections, inflammations and irritations",Orbital myositis,3,1.0,2.0,,0.0,0.0,
Eye disorders,"Orbital infections, inflammations and irritations",Parophthalmia,3,1.0,,1.0,0.0,,0.0
Eye disorders,"Orbital structural change, deposit and degeneration",Lid sulcus deepened,3,3.0,2.0,,0.0,0.0,
Eye disorders,"Orbital structural change, deposit and degeneration",Orbital oedema,3,2.0,1.0,2.0,0.0,0.0,0.0
Eye disorders,Pupil disorders,Anisocoria,3,12.0,1.0,15.0,0.0,0.0,0.0
Eye disorders,Pupil disorders,Holmes-Adie pupil,3,1.0,,,0.0,,
Eye disorders,Pupil disorders,Miosis,3,16.0,,2.0,0.0,,0.0
Eye disorders,Pupil disorders,Mydriasis,3,35.0,5.0,24.0,0.0,0.0,0.0
Eye disorders,Pupil disorders,Pupil fixed,3,15.0,,4.0,0.0,,0.0
Eye disorders,Pupil disorders,Pupillary deformity,3,1.0,,,0.0,,
Eye disorders,Pupil disorders,Pupillary disorder,3,,,1.0,,,0.0
Eye disorders,Pupil disorders,Pupillary reflex impaired,3,4.0,,,0.0,,
Eye disorders,Refractive and accommodative disorders,Accommodation disorder,3,,1.0,1.0,,0.0,0.0
Eye disorders,Refractive and accommodative disorders,Altered visual depth perception,3,5.0,,5.0,0.0,,0.0
Eye disorders,Refractive and accommodative disorders,Astigmatism,3,,3.0,3.0,,0.0,0.0
Eye disorders,Refractive and accommodative disorders,Hypermetropia,3,,,4.0,,,0.0
Eye disorders,Refractive and accommodative disorders,Myopia,3,,1.0,5.0,,0.0,0.0
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Papillophlebitis,3,,1.0,1.0,,0.0,0.0
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal aneurysm,3,2.0,,,0.0,,
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal artery embolism,3,5.0,,,0.0,,
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal artery occlusion,3,29.0,,18.0,0.0,,0.0
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal artery thrombosis,3,,,2.0,,,0.0
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal haemorrhage,3,22.0,2.0,12.0,0.0,0.0,0.0
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal infarction,3,1.0,,,0.0,,
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal ischaemia,3,2.0,1.0,1.0,0.0,0.0,0.0
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal vascular occlusion,3,3.0,,,0.0,,
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal vascular thrombosis,3,4.0,,1.0,0.0,,0.0
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal vein occlusion,3,107.0,12.0,53.0,0.0,0.0,0.0
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal vein thrombosis,3,8.0,,,0.0,,
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal vein varices,3,1.0,,,0.0,,
Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal vessel avulsion,3,1.0,,,0.0,,
Eye disorders,"Retinal structural change, deposit and degeneration",Age-related macular degeneration,3,,,1.0,,,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Chorioretinal disorder,3,,,1.0,,,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Dry age-related macular degeneration,3,,,1.0,,,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Epiretinal membrane,3,2.0,,1.0,0.0,,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Macular cherry-red spots,3,,,1.0,,,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Macular cyst,3,1.0,,,0.0,,
Eye disorders,"Retinal structural change, deposit and degeneration",Macular degeneration,3,11.0,1.0,6.0,0.0,0.0,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Macular detachment,3,1.0,,,0.0,,
Eye disorders,"Retinal structural change, deposit and degeneration",Macular hole,3,2.0,1.0,4.0,0.0,0.0,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Macular rupture,3,2.0,,1.0,0.0,,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Maculopathy,3,4.0,,1.0,0.0,,0.0
Eye disorders,"Retinal structural change, deposit and degeneration",Neovascular age-related macular degeneration,3,13.0,,4.0,0.0,,0.0
