,,,,total,total,total,fatal,fatal,fatal
vax_name,,,,astra,moderna,pfizer,astra,moderna,pfizer
name0,name1,reaction name,level,,,,,,
Blood disorders,Leukocytoses NEC,Leukocytosis,3,,,3.0,,,0.0
Blood disorders,Leukocytoses NEC,Lymphocytic infiltration,3,,,1.0,,,0.0
Blood disorders,Leukocytoses NEC,Lymphocytosis,3,,,6.0,,,0.0
Blood disorders,Leukocytoses NEC,Neutrophilia,3,,,12.0,,,0.0
Blood disorders,Leukopenias NEC,B-cell aplasia,3,1.0,,,0.0,,
Blood disorders,Leukopenias NEC,Leukopenia,3,15.0,1.0,4.0,0.0,0.0,1.0
Blood disorders,Leukopenias NEC,Lymphopenia,3,9.0,,4.0,0.0,,0.0
Blood disorders,Lymphatic system disorders NEC,Abdominal lymphadenopathy,3,1.0,,4.0,0.0,,0.0
Blood disorders,Lymphatic system disorders NEC,Hilar lymphadenopathy,3,1.0,,3.0,0.0,,0.0
Blood disorders,Lymphatic system disorders NEC,Lymph node fibrosis,3,1.0,,,0.0,,
Blood disorders,Lymphatic system disorders NEC,Lymph node pain,3,599.0,377.0,2311.0,0.0,0.0,0.0
Blood disorders,Lymphatic system disorders NEC,Lymph node ulcer,3,,1.0,1.0,,0.0,0.0
Blood disorders,Lymphatic system disorders NEC,Lymphadenitis,3,36.0,31.0,197.0,0.0,0.0,0.0
Blood disorders,Lymphatic system disorders NEC,Lymphadenopathy,3,5056.0,2276.0,14001.0,0.0,0.0,0.0
Blood disorders,Lymphatic system disorders NEC,Lymphadenopathy mediastinal,3,1.0,,1.0,0.0,,0.0
Blood disorders,Lymphatic system disorders NEC,Lymphatic disorder,3,2.0,1.0,3.0,0.0,0.0,0.0
Blood disorders,Lymphatic system disorders NEC,Lymphatic insufficiency,3,1.0,,1.0,0.0,,0.0
Blood disorders,Lymphatic system disorders NEC,Lymphoid tissue hyperplasia,3,1.0,,1.0,0.0,,0.0
Blood disorders,Lymphatic system disorders NEC,Necrotic lymphadenopathy,3,,,4.0,,,0.0
Blood disorders,Lymphatic system disorders NEC,Pseudolymphoma,3,4.0,,9.0,0.0,,0.0
Blood disorders,Lymphatic system disorders NEC,Retroperitoneal lymphadenopathy,3,,,1.0,,,0.0
Blood disorders,Marrow depression and hypoplastic anaemias,Aplasia pure red cell,3,,,2.0,,,0.0
Blood disorders,Marrow depression and hypoplastic anaemias,Aplastic anaemia,3,7.0,1.0,1.0,0.0,0.0,1.0
Blood disorders,Marrow depression and hypoplastic anaemias,Cytopenia,3,1.0,,,0.0,,
Blood disorders,Marrow depression and hypoplastic anaemias,Hypoplastic anaemia,3,,,2.0,,,0.0
Blood disorders,Marrow depression and hypoplastic anaemias,Myelosuppression,3,5.0,,1.0,0.0,,0.0
Blood disorders,Marrow depression and hypoplastic anaemias,Pancytopenia,3,21.0,1.0,10.0,1.0,0.0,0.0
Blood disorders,Neutropenias,Agranulocytosis,3,4.0,,,0.0,,
Blood disorders,Neutropenias,Autoimmune neutropenia,3,2.0,1.0,2.0,0.0,0.0,0.0
Blood disorders,Neutropenias,Febrile neutropenia,3,1.0,,,0.0,,
Blood disorders,Neutropenias,Neutropenia,3,84.0,4.0,45.0,0.0,0.0,0.0
Blood disorders,Platelet disorders NEC,Platelet anisocytosis,3,4.0,,1.0,0.0,,0.0
Blood disorders,Platelet disorders NEC,Platelet disorder,3,9.0,1.0,5.0,0.0,0.0,0.0
Blood disorders,Polycythaemia (excl rubra vera),Polycythaemia,3,7.0,,3.0,0.0,,0.0
Blood disorders,Polycythaemia (excl rubra vera),Stress polycythaemia,3,3.0,1.0,,0.0,0.0,
Blood disorders,Purpuras (excl thrombocytopenic),Purpura non-thrombocytopenic,3,4.0,,1.0,0.0,,0.0
Blood disorders,Red blood cell abnormal findings NEC,Anisocytosis,3,3.0,,,0.0,,
Blood disorders,Red blood cell abnormal findings NEC,Macrocytosis,3,3.0,,2.0,0.0,,0.0
Blood disorders,Red blood cell abnormal findings NEC,Poikilocytosis,3,1.0,,,0.0,,
Blood disorders,Red blood cell abnormal findings NEC,Polychromasia,3,4.0,,2.0,0.0,,0.0
Blood disorders,Red blood cell abnormal findings NEC,Red blood cell abnormality,3,1.0,,3.0,0.0,,0.0
Blood disorders,Red blood cell abnormal findings NEC,Rouleaux formation,3,1.0,,,0.0,,
Blood disorders,Sickle cell trait and disorders,Sickle cell anaemia with crisis,3,7.0,1.0,,0.0,0.0,
Blood disorders,Spleen disorders,Spleen atrophy,3,,,1.0,,,0.0
Blood disorders,Spleen disorders,Spleen disorder,3,2.0,,1.0,0.0,,0.0
Blood disorders,Spleen disorders,Splenic artery thrombosis,3,3.0,,,0.0,,
Blood disorders,Spleen disorders,Splenic haemorrhage,3,1.0,,,0.0,,
Blood disorders,Spleen disorders,Splenic infarction,3,20.0,2.0,5.0,0.0,0.0,0.0
Blood disorders,Spleen disorders,Splenic lesion,3,,,1.0,,,0.0
Blood disorders,Spleen disorders,Splenic thrombosis,3,1.0,,2.0,0.0,,0.0
Blood disorders,Spleen disorders,Splenic vein thrombosis,3,,1.0,2.0,,0.0,0.0
Blood disorders,Spleen disorders,Splenomegaly,3,,,13.0,,,0.0
Blood disorders,Thrombocytopenias,Acquired amegakaryocytic thrombocytopenia,3,,,1.0,,,0.0
Blood disorders,Thrombocytopenias,Autoimmune heparin-induced thrombocytopenia,3,1.0,,,0.0,,
Blood disorders,Thrombocytopenias,Heparin-induced thrombocytopenia,3,17.0,,,0.0,,
Blood disorders,Thrombocytopenias,Immune thrombocytopenia,3,226.0,12.0,92.0,1.0,0.0,0.0
Blood disorders,Thrombocytopenias,Thrombocytopenia,3,890.0,37.0,,9.0,0.0,
Blood disorders,Thrombocytopenias,Thrombocytopenic purpura,3,11.0,,,0.0,,
Blood disorders,Thrombocytopenias,Thrombosis with thrombocytopenia syndrome,3,43.0,,,1.0,,
Blood disorders,Thrombocytopenias,Thrombotic thrombocytopenic purpura,3,12.0,,,0.0,,
Blood disorders,Thrombocytoses,Thrombocytosis,3,14.0,,7.0,0.0,,0.0
Blood disorders,Thymus disorders,Thymus enlargement,3,,,1.0,,,0.0
Blood disorders,White blood cell abnormal findings NEC,White blood cell disorder,3,4.0,,1.0,0.0,,0.0
Cardiac disorders,Aortic valvular disorders,Aortic valve incompetence,3,5.0,,2.0,0.0,,0.0
Cardiac disorders,Aortic valvular disorders,Aortic valve sclerosis,3,1.0,,,0.0,,
Cardiac disorders,Aortic valvular disorders,Aortic valve stenosis,3,1.0,,,0.0,,
Cardiac disorders,Cardiac conduction disorders,Adams-Stokes syndrome,3,1.0,,,0.0,,
Cardiac disorders,Cardiac conduction disorders,Atrioventricular block,3,36.0,8.0,35.0,2.0,0.0,1.0
Cardiac disorders,Cardiac conduction disorders,Atrioventricular block complete,3,3.0,2.0,4.0,0.0,1.0,1.0
Cardiac disorders,Cardiac conduction disorders,Atrioventricular block first degree,3,5.0,,3.0,0.0,,0.0
Cardiac disorders,Cardiac conduction disorders,Atrioventricular block second degree,3,7.0,,5.0,0.0,,0.0
Cardiac disorders,Cardiac conduction disorders,Bifascicular block,3,,,1.0,,,0.0
Cardiac disorders,Cardiac conduction disorders,Bundle branch block,3,2.0,,2.0,0.0,,0.0
Cardiac disorders,Cardiac conduction disorders,Bundle branch block left,3,11.0,1.0,7.0,0.0,0.0,0.0
Cardiac disorders,Cardiac conduction disorders,Bundle branch block right,3,7.0,3.0,7.0,0.0,0.0,0.0
Cardiac disorders,Cardiac conduction disorders,Long QT syndrome,3,2.0,,,0.0,,
