02 Jan 2022,mean age,median age,#obs
population,42,41,67 114 995
cases,39.2,35.8,9 744 502
hospitalisations,73.1,74.7,10 536 135
réanimations,64.5,65.1,1 621 104
morts,80.7,81.6,96 372
