,index,recap,
0,#trades,14,22Apr23 14:56
1,$net,-20,-2.8%
2,$gross,402,+55.7%
3,$buy,191,+26.4%
4,$sell,-211,-29.2%
5,$P&L vs. Last,-0.7,-10bp
6,$P&L vs. Arrival,0.0,+0bp
