,index,recap,
0,#trades,10.0,16May23 13:49
1,$net,49,+7.1%
2,$gross,277,+40.2%
3,$buy,163,+23.6%
4,$sell,-114,-16.5%
5,$P&L vs. Last,-0.5,-7bp
6,$P&L vs. Arrival,-0.2,-3bp
