,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,>90,Total
population,7.8M,8.3M,7.5M,8.3M,8.6M,8.8M,8M,5.7M,3.2M,0.9M,67.1M
population%,12%,12%,11%,12%,13%,13%,12%,8%,5%,1%,100%
morts,40,34,149,478,1 360,4 687,13 594,26 927,44 300,26 578,118 147
morts%,0%,0%,0%,0%,1%,4%,12%,23%,37%,22%,100%
E[Vie],78.3,68.4,58.6,48.9,39.3,30.2,21.8,14.0,7.4,3.4,avg:11.2
E[Vie]✝,60.9,51.0,41.2,31.7,22.8,15.4,9.8,5.3,1.9,1.0,avg:4.4
