,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00
,"10,20,30","10,20,30","10,20,30","10,20,30",obs10,obs10,obs20,obs20,obs30,obs30,"10,20,30","10,20,30","10,20,30","10,20,30",obs10,obs10,obs20,obs20,obs30,obs30
,"top3,5","top3,5","top3,5","top3,5",,,,,,,"top3,5","top3,5","top3,5","top3,5",,,,,,
,top,+SL,TopvBot,mix,rt,rank,rt,rank,rt,rank,top,+SL,TopvBot,mix,rt,rank,rt,rank,rt,rank
BTC,0.0,0.0,0.0,0.0,0.24736463448966228,11.0,0.2772353935473504,19.0,0.2626684693285608,16.0,0.0,0.0,0.0,0.0,0.24871627053748213,8.0,0.28582911443012216,21.0,0.3010497065493516,21.0
ETH,0.0,0.0,0.0,0.0,0.23851527209727275,13.0,0.3154392303491147,15.0,0.3233225702838396,11.0,0.0,0.0,0.0,0.0,0.23268431822409585,12.0,0.3247590567185057,17.0,0.3618194584781893,16.0
BNB,0.0,0.0,0.0,0.0,0.14580941446613038,24.0,0.2245398773006131,23.0,0.19282868525896357,22.0,0.0,0.0,0.0,0.0,0.10149145143688587,26.0,0.22939504669102706,26.0,0.2595673876871878,23.0
XRP,0.0,0.0,0.0,0.0,0.12376525276002348,27.0,0.08712759977515483,29.0,0.10545870248642508,28.0,0.0,0.0,0.0,0.0,0.13847045191193552,22.0,0.1487869044139145,28.0,0.15963411035703778,28.0
ADA,0.0,0.0,0.0,0.0,0.24819364161849666,10.0,0.3920225624496365,6.0,0.29936066190297006,12.0,0.0,0.0,0.0,0.0,0.18493611297915225,17.0,0.4442622950819666,7.0,0.39343614076710076,12.0
DOGE,0.0,0.0,0.0,0.0,0.14766588170106654,23.0,0.17684659090909083,26.0,0.06350062415848301,29.0,0.0,0.0,0.0,0.0,0.1872877903028658,16.0,0.23230899351564727,23.0,0.21365983534308852,24.0
MATIC,0.0,0.0,0.0,0.0,0.23291578816817538,14.0,0.27009071163919773,21.0,0.22335712527688867,19.0,0.0,0.0,0.0,0.0,0.20363982395622693,14.0,0.3024842322049168,19.0,0.3078712679333069,20.0
SOL,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.48325159543386387,1.0,0.9692815087665054,1.0,0.5637552747846255,2.0,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.38681120198887875,4.0,1.004915836549881,1.0,0.6212670124890507,3.0
DOT,0.0,0.0,0.0,0.0,0.2770154373927962,6.0,0.3896406906206258,7.0,0.2789349366544993,14.0,0.0,0.0,0.0,0.0,0.2737256527144638,6.0,0.42654908331399444,8.0,0.3717920107118955,14.0
SHIB,0.0,0.0,0.0,0.0,0.2529691211401426,9.0,0.33207070707070696,13.0,0.23391812865497097,18.0,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.4277456647398845,1.0,0.50609756097561,5.0,0.5171990171990173,5.0
LTC,0.0,0.0,0.0,0.0,0.13900523560209388,26.0,0.31212303980699696,16.0,0.3479061918341393,8.0,0.0,0.0,0.0,0.0,0.10447381799694955,25.0,0.3036303630363042,18.0,0.3649447971472808,15.0
TRX,0.0,0.0,0.0,0.0,0.18592578350317268,18.0,0.13884785819793222,28.0,0.14689475641502425,25.0,0.0,0.0,0.0,0.0,0.1307225592939878,23.0,0.1384672343576454,29.0,0.14824495892457068,29.0
AVAX,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.4309669613184226,2.0,0.4998984652534755,4.0,0.4093765126145399,4.0,0.12222222222222223,0.12222222222222223,0.12222222222222223,0.12222222222222223,0.39459516242284765,3.0,0.5355788263836267,4.0,0.48030338136016004,6.0
UNI,0.0,0.0,0.0,0.0,0.17140746213520486,21.0,0.27605633802816887,20.0,0.19031531531531476,24.0,0.0,0.0,0.0,0.0,0.20161290322580672,15.0,0.32824881141045936,16.0,0.317288801571709,18.0
ATOM,0.0,0.0,0.0,0.0,0.1921341702628483,17.0,0.33074228158528607,14.0,0.3723608445297508,7.0,0.0,0.0,0.0,0.0,0.17755237463266682,18.0,0.33140407288317286,15.0,0.4370661730680243,7.0
LINK,0.0,0.0,0.0,0.0,0.16706689536878194,22.0,0.19894273127753315,25.0,0.14372163388804826,26.0,0.0,0.0,0.0,0.0,0.15646486667784676,19.0,0.23120871272986965,25.0,0.19101899827288404,27.0
XMR,0.0,0.0,0.0,0.0,0.10134701731879447,28.0,0.16961852861035465,27.0,0.1923611111111121,23.0,0.0,0.0,0.0,0.0,0.12234385061171982,24.0,0.19711538461538547,27.0,0.2121001390820596,25.0
ETC,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06328760273997647,29.0,0.3980322827239877,5.0,0.3261134325462167,10.0,0.0,0.0,0.0,0.0,0.055052070139452125,28.0,0.35341692977363826,12.0,0.3979372235161922,11.0
BCH,0.0,0.0,0.0,0.0,0.210059171597633,16.0,0.2368951612903225,22.0,0.2029411764705884,21.0,0.0,0.0,0.0,0.0,0.2150433944069432,13.0,0.2804878048780486,22.0,0.2804878048780488,22.0
XLM,0.0,0.0,0.0,0.0,0.14021164021164023,25.0,0.20223152022315194,24.0,0.1282722513089003,27.0,0.0,0.0,0.0,0.0,0.14747736093143615,21.0,0.2319444444444445,24.0,0.21174863387978116,26.0
NEAR,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2970322005510784,5.0,0.5381025151140106,3.0,0.4836865243283335,3.0,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.2640590595472134,7.0,0.5905106972492016,3.0,0.6318600199565783,2.0
APE,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.17623049219687892,20.0,0.3533149171270713,10.0,0.3986518964666108,5.0,0.0,0.0,0.0,0.0,0.10092155540570924,27.0,0.3534125449019059,13.0,0.41777495416525356,10.0
LDO,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.22756181281239218,15.0,0.8130779090344855,2.0,0.7631766821803256,1.0,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.04555583466022384,29.0,0.8694423443063912,2.0,0.8910885188194129,1.0
QNT,0.0,0.0,0.0,0.0,0.24234470691163623,12.0,0.28739800543971006,17.0,0.29562043795620485,13.0,0.0,0.0,0.0,0.0,0.24310344827586228,10.0,0.3014440433212997,20.0,0.3759541984732826,13.0
FIL,0.0,0.0,0.0,0.0,0.25769040593062575,8.0,0.3501365227390201,11.0,0.333576420429754,9.0,0.0,0.0,0.0,0.0,0.23563517359448505,11.0,0.37250221827642127,10.0,0.4278687445743343,9.0
ALGO,0.0,0.0,0.0,0.0,0.1774110366168129,19.0,0.3670658682634731,8.0,0.21359910178240993,20.0,0.0,0.0,0.0,0.0,0.14801806322127442,20.0,0.38834951456310685,9.0,0.31330621609324427,19.0
VET,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.29993891264508266,4.0,0.3614843250159949,9.0,0.2788461538461544,15.0,0.0,0.0,0.0,0.0,0.24619883040935697,9.0,0.3555979643765903,11.0,0.34958834705509867,17.0
ICP,0.0,0.0,0.0,0.0,0.2683109118086697,7.0,0.28593079060368765,18.0,0.38342391304347845,6.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.313487241798299,5.0,0.3451966152314585,14.0,0.5456105233056909,4.0
HBAR,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.3737373737373735,3.0,0.33660933660933656,12.0,0.24200913242009148,17.0,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.3971291866028708,2.0,0.4860050890585239,6.0,0.42787286063569696,8.0
