,realizedPnl,PnLvsArrival,PnLvsLast
in$,576.3,-56.7,-106.9
in bp 104294$ trd,55 bp,-5 bp,-10 bp
in bp 1531968$ AUMs,4 bp,-0 bp,-1 bp
