,index,in$,in%
0,as of,09Mar 14:40>>16:17,#161 trades (on #21 symbols)
1,net,"+69,917$",+10%
2,gross,"+338,616$",+46%
3,buy,"+204,267$",+28%
4,sell,"-134,349$",-18%
5,fees,34$,1.0bp
6,P&L[L],-171$,-5bp
7,P&L[A],+195$,+6bp
