,PnLvsLast,PnLvsArrival,realizedPnl
in$,300.0,-69.0,"-1,282.0"
"in bp vs. 278,484 traded",11 bp,-2 bp,-46 bp
"in bp vs. 1,394,596 AUMs",2 bp,-0 bp,-9 bp
